a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t
23.0	0.0	0.0	21.0	8.0	12.0	6.0	25.0	6.0	6.0	10.0	11.0	13.0	8.0	26.0	18.0	17.0	17.0	14.0	0.0
34.0	0.0	0.0	34.0	15.0	24.0	9.0	35.0	9.0	12.0	19.0	15.0	17.0	15.0	36.0	25.0	21.0	30.0	18.0	0.0
46.0	0.0	0.0	46.0	22.0	27.0	10.0	47.0	11.0	13.0	24.0	21.0	24.0	20.0	55.0	39.0	30.0	41.0	25.0	1.0
56.0	0.0	0.0	57.0	28.0	32.0	16.0	62.0	14.0	17.0	32.0	27.0	29.0	27.0	67.0	42.0	35.0	50.0	34.0	1.0
67.0	0.0	1.0	68.0	35.0	37.0	19.0	69.0	19.0	20.0	42.0	34.0	36.0	32.0	81.0	51.0	40.0	54.0	39.0	2.0
80.0	1.0	1.0	79.0	40.0	45.0	21.0	83.0	22.0	24.0	47.0	39.0	40.0	34.0	96.0	59.0	47.0	72.0	44.0	2.0
78.0	1.0	1.0	81.0	39.0	45.0	21.0	84.0	21.0	23.0	45.0	38.0	37.0	34.0	94.0	61.0	46.0	73.0	41.0	2.0
79.0	1.0	1.0	80.0	41.0	44.0	21.0	87.0	22.0	25.0	47.0	38.0	44.0	35.0	100.0	62.0	46.0	71.0	43.0	4.0
79.0	1.0	1.0	80.0	39.0	46.0	21.0	86.0	23.0	23.0	48.0	41.0	38.0	36.0	99.0	61.0	48.0	72.0	45.0	4.0
77.0	1.0	1.0	80.0	40.0	47.0	22.0	82.0	22.0	23.0	49.0	39.0	45.0	34.0	100.0	60.0	50.0	71.0	43.0	11.0
79.0	1.0	1.0	80.0	41.0	47.0	23.0	87.0	23.0	22.0	45.0	38.0	37.0	34.0	95.0	62.0	46.0	71.0	45.0	11.0
81.0	1.0	1.0	82.0	41.0	47.0	21.0	84.0	23.0	23.0	46.0	39.0	37.0	33.0	98.0	65.0	46.0	73.0	44.0	11.0
83.0	1.0	2.0	85.0	42.0	47.0	21.0	81.0	22.0	25.0	46.0	38.0	36.0	32.0	95.0	62.0	46.0	77.0	39.0	11.0
86.0	1.0	3.0	87.0	40.0	43.0	20.0	76.0	22.0	21.0	48.0	37.0	40.0	30.0	89.0	64.0	43.0	72.0	44.0	11.0
88.0	1.0	3.0	91.0	39.0	44.0	21.0	73.0	22.0	23.0	44.0	37.0	41.0	29.0	96.0	69.0	46.0	70.0	45.0	9.0
93.0	1.0	4.0	94.0	41.0	47.0	19.0	76.0	24.0	24.0	46.0	37.0	37.0	29.0	92.0	67.0	43.0	73.0	44.0	9.0
96.0	1.0	5.0	97.0	44.0	45.0	19.0	70.0	23.0	23.0	48.0	38.0	38.0	26.0	88.0	71.0	44.0	75.0	48.0	2.0
100.0	1.0	6.0	97.0	43.0	46.0	18.0	68.0	23.0	24.0	49.0	35.0	37.0	24.0	92.0	71.0	41.0	69.0	42.0	2.0
99.0	1.0	5.0	97.0	44.0	47.0	19.0	71.0	24.0	25.0	46.0	34.0	33.0	24.0	89.0	70.0	42.0	75.0	46.0	2.0
95.0	1.0	5.0	99.0	45.0	47.0	20.0	70.0	24.0	24.0	48.0	37.0	42.0	25.0	91.0	72.0	41.0	69.0	43.0	2.0
97.0	1.0	5.0	98.0	46.0	48.0	20.0	65.0	23.0	24.0	47.0	37.0	42.0	23.0	90.0	70.0	40.0	73.0	41.0	2.0
98.0	1.0	5.0	99.0	44.0	46.0	19.0	73.0	24.0	25.0	45.0	35.0	38.0	26.0	89.0	70.0	44.0	74.0	44.0	2.0
97.0	1.0	5.0	100.0	45.0	47.0	19.0	71.0	24.0	23.0	43.0	37.0	40.0	25.0	89.0	69.0	41.0	69.0	45.0	1.0
91.0	1.0	9.0	93.0	47.0	45.0	18.0	68.0	24.0	23.0	47.0	38.0	41.0	22.0	87.0	70.0	43.0	68.0	47.0	1.0
88.0	1.0	13.0	88.0	41.0	43.0	18.0	65.0	22.0	21.0	40.0	36.0	39.0	22.0	88.0	73.0	39.0	69.0	56.0	1.0
82.0	1.0	18.0	82.0	44.0	43.0	17.0	60.0	22.0	23.0	48.0	37.0	36.0	24.0	82.0	69.0	42.0	65.0	71.0	1.0
77.0	1.0	22.0	78.0	44.0	45.0	17.0	56.0	22.0	22.0	53.0	37.0	42.0	23.0	81.0	65.0	41.0	59.0	80.0	1.0
71.0	0.0	26.0	73.0	39.0	42.0	18.0	57.0	21.0	23.0	45.0	36.0	37.0	21.0	80.0	63.0	41.0	63.0	80.0	2.0
67.0	0.0	28.0	66.0	43.0	41.0	16.0	51.0	21.0	21.0	49.0	36.0	41.0	25.0	81.0	67.0	43.0	58.0	86.0	2.0
58.0	0.0	35.0	60.0	42.0	39.0	15.0	48.0	20.0	23.0	48.0	37.0	36.0	22.0	75.0	59.0	44.0	60.0	90.0	2.0
61.0	0.0	34.0	62.0	42.0	41.0	16.0	51.0	20.0	21.0	49.0	37.0	41.0	26.0	76.0	60.0	43.0	57.0	100.0	2.0
62.0	0.0	32.0	63.0	43.0	43.0	16.0	49.0	19.0	21.0	45.0	37.0	43.0	21.0	72.0	61.0	43.0	56.0	91.0	2.0
59.0	0.0	34.0	60.0	45.0	41.0	16.0	48.0	20.0	23.0	46.0	36.0	36.0	23.0	77.0	62.0	41.0	57.0	91.0	2.0
61.0	0.0	35.0	62.0	44.0	41.0	16.0	51.0	20.0	19.0	44.0	37.0	38.0	20.0	73.0	63.0	42.0	57.0	97.0	2.0
59.0	0.0	35.0	63.0	40.0	41.0	15.0	51.0	20.0	24.0	45.0	36.0	40.0	23.0	71.0	66.0	45.0	59.0	93.0	2.0
58.0	0.0	33.0	59.0	42.0	40.0	15.0	46.0	20.0	22.0	48.0	38.0	42.0	24.0	73.0	62.0	45.0	53.0	88.0	3.0
57.0	0.0	31.0	55.0	44.0	37.0	15.0	54.0	20.0	23.0	46.0	37.0	38.0	22.0	78.0	61.0	39.0	53.0	81.0	3.0
51.0	0.0	28.0	53.0	45.0	40.0	13.0	53.0	18.0	22.0	43.0	37.0	37.0	22.0	79.0	60.0	42.0	48.0	71.0	3.0
48.0	0.0	28.0	47.0	43.0	37.0	14.0	54.0	19.0	22.0	47.0	37.0	41.0	22.0	80.0	59.0	42.0	49.0	66.0	3.0
