schedule_id 	 launches	inter_arrival	lifetime	domain_size
30000 	 100	300	3600	1 
30100 	 100	300	3600	2 
30200 	 100	300	43200	1 
30300 	 100	300	43200	2 
30400 	 100	600	3600	1 
30500 	 100	600	3600	2 
30600 	 100	600	43200	1 
30700 	 100	600	43200	2 
30800 	 150	300	3600	1 
30900 	 150	300	3600	2 
31000 	 150	300	43200	1 
31100 	 150	300	43200	2 
31200 	 150	600	3600	1 
31300 	 150	600	3600	2 
31400 	 150	600	43200	1 
31500 	 150	600	43200	2 
