RUN	STRATEGY_PLACEMENT	STRATEGY_REALLOCATION	SCHEDULE_ID	DOMAIN_SIZES_SET 	 Migrations	Overload Mig.	avg. srv. count	cpu violations	cpu accumulation	min. servers	max. servers	slot count	avg. srv. utilization	initial placement duration	runtime
0	firstFitDemand	None	20202	0 	 0.000000 	 0.000000 	 3.280918 	 2.000000 	 2487727 	 0 	 5 	 42679 	 35.163311 	 7 	 39026
0	firstFit	dsapp	20000	0 	 21.000000 	 0.000000 	 2.822882 	 7.000000 	 2721027 	 0 	 5 	 36812 	 39.222767 	 24 	 39123
0	firstFit	None	20004	0 	 0.000000 	 0.000000 	 5.011157 	 0.000000 	 1896117 	 0 	 6 	 71005 	 13.366427 	 6 	 42508
0	firstFitDemand	dsapp	20103	0 	 9.000000 	 0.000000 	 2.069282 	 0.000000 	 2009472 	 0 	 4 	 30557 	 33.698039 	 28 	 44302
0	bestFit	dsapp	20301	0 	 20.000000 	 0.000000 	 2.363428 	 255.000000 	 2484299 	 0 	 5 	 33814 	 37.918653 	 22 	 42922
0	firstFitDemand	None	20203	0 	 0.000000 	 0.000000 	 2.997146 	 0.000000 	 1400192 	 0 	 5 	 41437 	 17.066572 	 3 	 41477
0	firstFitDemand	dsapp	20104	0 	 11.000000 	 0.000000 	 2.004210 	 378.000000 	 2023914 	 0 	 4 	 27419 	 39.179442 	 13 	 41044
0	firstFit	None	20100	0 	 0.000000 	 0.000000 	 4.924007 	 0.000000 	 2658260 	 0 	 6 	 69766 	 19.785687 	 3 	 42507
0	bestFit	dsapp	20302	0 	 18.000000 	 0.000000 	 2.673409 	 312.000000 	 2865147 	 0 	 5 	 38499 	 40.063398 	 16 	 43200
0	firstFit	dsapp	20001	0 	 20.000000 	 0.000000 	 2.833920 	 62.000000 	 2795369 	 0 	 6 	 41030 	 37.558979 	 16 	 43436
0	firstFitDemand	None	20204	0 	 0.000000 	 0.000000 	 2.466355 	 358.000000 	 2973313 	 0 	 5 	 34338 	 45.086258 	 3 	 41767
0	firstFitDemand	dsapp	20200	0 	 11.000000 	 0.000000 	 1.885555 	 359.000000 	 1645786 	 0 	 4 	 22407 	 37.343315 	 16 	 35650
0	firstFit	None	20101	0 	 0.000000 	 0.000000 	 4.969632 	 0.000000 	 1905271 	 0 	 6 	 69087 	 15.098344 	 1 	 41704
0	firstFit	dsapp	20002	0 	 21.000000 	 0.000000 	 2.820374 	 1328.000000 	 2831196 	 0 	 6 	 33782 	 47.311031 	 13 	 35933
0	bestFit	dsapp	20303	0 	 24.000000 	 0.000000 	 2.679147 	 0.000000 	 2167529 	 0 	 5 	 38110 	 29.535695 	 15 	 42674
0	firstFitDemand	None	20300	0 	 0.000000 	 0.000000 	 3.113200 	 1.000000 	 2362209 	 0 	 5 	 44509 	 28.032830 	 3 	 42891
0	firstFitDemand	dsapp	20201	0 	 14.000000 	 0.000000 	 2.320355 	 1704.000000 	 2967050 	 0 	 5 	 32169 	 46.534487 	 14 	 41591
0	firstFit	None	20102	0 	 0.000000 	 0.000000 	 5.166257 	 0.000000 	 4068363 	 0 	 6 	 75530 	 26.932413 	 3 	 43860
0	firstFit	dsapp	20003	0 	 25.000000 	 0.000000 	 2.573030 	 237.000000 	 2841650 	 0 	 6 	 35966 	 41.731441 	 18 	 41935
0	bestFit	dsapp	20304	0 	 19.000000 	 0.000000 	 2.632317 	 580.000000 	 2276087 	 0 	 6 	 36004 	 33.412333 	 13 	 41032
0	firstFitDemand	None	20301	0 	 0.000000 	 0.000000 	 3.016498 	 0.000000 	 2473590 	 0 	 4 	 43158 	 29.439143 	 1 	 42922
0	firstFitDemand	dsapp	20202	0 	 13.000000 	 0.000000 	 2.471703 	 1041.000000 	 2487578 	 0 	 5 	 32153 	 46.771643 	 14 	 39026
0	firstFit	None	20103	0 	 0.000000 	 0.000000 	 4.391174 	 0.000000 	 2015250 	 0 	 6 	 64846 	 15.874806 	 3 	 44302
0	bestFit	kmcontrol	20000	0 	 22.000000 	 0.000000 	 3.083997 	 0.000000 	 2716780 	 0 	 6 	 40219 	 35.847081 	 6 	 39123
0	firstFit	dsapp	20004	0 	 20.000000 	 0.000000 	 2.583170 	 0.000000 	 1893438 	 0 	 6 	 36603 	 26.039880 	 19 	 42508
0	firstFitDemand	None	20302	0 	 0.000000 	 0.000000 	 3.501912 	 360.000000 	 2857021 	 0 	 6 	 50428 	 30.387991 	 3 	 43200
0	firstFitDemand	dsapp	20203	0 	 8.000000 	 0.000000 	 2.041029 	 0.000000 	 1407715 	 0 	 4 	 28218 	 25.261301 	 19 	 41477
0	firstFit	None	20104	0 	 0.000000 	 0.000000 	 4.220147 	 0.000000 	 2030954 	 0 	 6 	 57736 	 18.617615 	 3 	 41044
0	firstFit	None	20200	0 	 0.000000 	 0.000000 	 3.999561 	 0.000000 	 1642281 	 0 	 6 	 47527 	 17.493412 	 3 	 35650
0	bestFit	kmcontrol	20001	0 	 25.000000 	 0.000000 	 2.813744 	 51.000000 	 2808245 	 0 	 5 	 40739 	 38.020716 	 6 	 43436
0	firstFit	dsapp	20100	0 	 21.000000 	 0.000000 	 2.631268 	 93.000000 	 2656599 	 0 	 6 	 37280 	 37.164848 	 16 	 42507
0	firstFitDemand	None	20303	0 	 0.000000 	 0.000000 	 3.276005 	 11.000000 	 2157071 	 0 	 5 	 46600 	 23.871796 	 3 	 42674
0	firstFitDemand	dsapp	20204	0 	 12.000000 	 0.000000 	 2.273055 	 784.000000 	 2975596 	 0 	 5 	 31645 	 49.063507 	 20 	 41767
0	firstFit	None	20201	0 	 0.000000 	 0.000000 	 3.801550 	 0.000000 	 2970945 	 0 	 6 	 52706 	 28.361920 	 3 	 41591
0	firstFitDemand	None	20304	0 	 0.000000 	 0.000000 	 2.706322 	 4254.000000 	 2282381 	 0 	 5 	 37014 	 32.436874 	 3 	 41032
0	bestFit	kmcontrol	20002	0 	 20.000000 	 0.000000 	 3.112280 	 19.000000 	 2833140 	 0 	 6 	 37278 	 42.886529 	 7 	 35933
0	firstFit	dsapp	20101	0 	 6.000000 	 0.000000 	 4.136326 	 0.000000 	 1904006 	 0 	 6 	 57502 	 21.746601 	 17 	 41704
0	firstFitDemand	dsapp	20300	0 	 8.000000 	 0.000000 	 2.386492 	 0.000000 	 2368021 	 0 	 4 	 34121 	 36.712581 	 13 	 42891
0	firstFit	None	20202	0 	 0.000000 	 0.000000 	 4.298463 	 67.000000 	 2482293 	 0 	 6 	 55915 	 26.792031 	 3 	 39026
0	firstFitDemand	tcontrol	20000	0 	 15.000000 	 0.000000 	 2.428908 	 0.000000 	 2706113 	 0 	 4 	 31677 	 45.240693 	 286 	 39123
0	bestFit	kmcontrol	20003	0 	 26.000000 	 0.000000 	 3.395631 	 3.000000 	 2850491 	 0 	 6 	 47465 	 37.641715 	 4 	 41935
0	firstFit	dsapp	20102	0 	 22.000000 	 0.000000 	 2.766083 	 315.000000 	 4059082 	 0 	 6 	 40440 	 50.336695 	 13 	 43860
0	firstFitDemand	dsapp	20301	0 	 11.000000 	 0.000000 	 2.185473 	 87.000000 	 2484092 	 0 	 4 	 31269 	 40.927400 	 13 	 42922
0	firstFit	None	20203	0 	 0.000000 	 0.000000 	 4.111216 	 0.000000 	 1407534 	 0 	 6 	 56839 	 12.509898 	 1 	 41477
0	firstFitDemand	tcontrol	20001	0 	 16.000000 	 1.000000 	 2.491886 	 36.000000 	 2801133 	 0 	 4 	 36080 	 42.789623 	 328 	 43436
0	firstFit	dsapp	20103	0 	 23.000000 	 0.000000 	 2.277612 	 0.000000 	 1997503 	 0 	 6 	 33634 	 30.545445 	 21 	 44302
0	bestFit	kmcontrol	20004	0 	 32.000000 	 0.000000 	 2.581656 	 8.000000 	 1896236 	 0 	 6 	 36583 	 26.186803 	 6 	 42508
0	firstFitDemand	dsapp	20302	0 	 12.000000 	 0.000000 	 2.401192 	 681.000000 	 2866338 	 0 	 5 	 34577 	 44.578070 	 17 	 43200
0	firstFit	None	20204	0 	 0.000000 	 0.000000 	 3.629330 	 1819.000000 	 2978594 	 0 	 6 	 50528 	 30.685311 	 3 	 41767
0	firstFitDemand	tcontrol	20002	0 	 9.000000 	 1.000000 	 2.766284 	 151.000000 	 2831507 	 0 	 4 	 33134 	 48.108129 	 299 	 35933
0	firstFit	dsapp	20104	0 	 21.000000 	 0.000000 	 2.340046 	 793.000000 	 2030611 	 0 	 6 	 32015 	 33.772805 	 18 	 41044
0	firstFit	None	20300	0 	 0.000000 	 0.000000 	 4.716000 	 35.000000 	 2361678 	 0 	 6 	 67426 	 18.486172 	 4 	 42891
0	firstFitDemand	dsapp	20303	0 	 11.000000 	 0.000000 	 2.327737 	 1.000000 	 2154472 	 0 	 5 	 33113 	 33.659139 	 24 	 42674
0	bestFit	kmcontrol	20100	0 	 24.000000 	 0.000000 	 2.996557 	 0.000000 	 2655993 	 0 	 5 	 42454 	 32.642608 	 4 	 42507
0	firstFit	dsapp	20200	0 	 20.000000 	 0.000000 	 2.380384 	 138.000000 	 1643101 	 0 	 6 	 28285 	 29.611734 	 17 	 35650
0	firstFit	None	20301	0 	 0.000000 	 0.000000 	 4.393241 	 0.000000 	 2477905 	 0 	 6 	 62856 	 20.250480 	 1 	 42922
0	firstFitDemand	tcontrol	20003	0 	 17.000000 	 1.000000 	 2.468324 	 63.000000 	 2842552 	 0 	 4 	 34502 	 43.402944 	 276 	 41935
0	firstFitDemand	dsapp	20304	0 	 14.000000 	 0.000000 	 2.282920 	 907.000000 	 2290583 	 0 	 4 	 31224 	 38.741312 	 20 	 41032
0	bestFit	kmcontrol	20101	0 	 30.000000 	 0.000000 	 2.569283 	 0.000000 	 1905952 	 0 	 6 	 35716 	 29.464053 	 6 	 41704
0	firstFit	dsapp	20201	0 	 23.000000 	 0.000000 	 2.444651 	 1096.000000 	 2968952 	 0 	 5 	 33892 	 44.250861 	 19 	 41591
0	firstFit	None	20302	0 	 0.000000 	 0.000000 	 4.570107 	 0.000000 	 2863209 	 0 	 6 	 65811 	 23.331887 	 3 	 43200
0	firstFitDemand	kmcontrol	20000	0 	 10.000000 	 1.000000 	 2.643132 	 268.000000 	 2713652 	 0 	 4 	 34470 	 41.646589 	 5 	 39123
0	firstFitDemand	tcontrol	20004	0 	 13.000000 	 0.000000 	 2.035518 	 0.000000 	 1886957 	 0 	 3 	 28841 	 32.871804 	 322 	 42508
0	bestFit	kmcontrol	20102	0 	 21.000000 	 0.000000 	 3.325514 	 0.000000 	 4071999 	 0 	 6 	 48621 	 41.997219 	 5 	 43860
0	firstFit	dsapp	20202	0 	 17.000000 	 0.000000 	 2.770272 	 633.000000 	 2473448 	 0 	 5 	 36038 	 41.558775 	 13 	 39026
0	firstFit	None	20303	0 	 0.000000 	 0.000000 	 4.580112 	 0.000000 	 2150657 	 0 	 6 	 65151 	 17.031790 	 2 	 42674
0	firstFitDemand	kmcontrol	20001	0 	 10.000000 	 0.000000 	 2.453905 	 21.000000 	 2796498 	 0 	 4 	 35530 	 43.317813 	 6 	 43436
0	firstFitDemand	tcontrol	20100	0 	 11.000000 	 1.000000 	 2.291074 	 96.000000 	 2661231 	 0 	 4 	 32462 	 42.659819 	 295 	 42507
