schedule_id 	 launches	inter_arrival	lifetime	domain_size
30000 	 30	300	3600	1 
30100 	 30	300	3600	2 
30200 	 30	300	43200	1 
30300 	 30	300	43200	2 
30400 	 30	600	3600	1 
30500 	 30	600	3600	2 
30600 	 30	600	43200	1 
30700 	 30	600	43200	2 
30800 	 60	300	3600	1 
30900 	 60	300	3600	2 
31000 	 60	300	43200	1 
31100 	 60	300	43200	2 
31200 	 60	600	3600	1 
31300 	 60	600	3600	2 
31400 	 60	600	43200	1 
31500 	 60	600	43200	2 
