Placement Controller,Reallocation Controller,Initial Placement,Times,Workload data,Schedule,Release,Experiment start time,Experiment stop time,Status,MEAN server count,50 quantile server count,90 quantile server count,MIN server count,MAX server count,MEAN server CPU utilization,50 quantile server CPU utilization,MEAN server MEM utilization,SUCCESSFUL operations count,FAILED operations count,MEAN operations response time,50 quantile operations response time (sampled),90 quantile operations response time (sampled),50 quantile operation response time (AVG over all targets),90 quantile operation response time (AVG over all targets),MAX operations response time,operations per second,requests per second,operations response time threshold violations,live migrations count,Server CPU > 90% measurements count,Server activations count,Server deactivations count,Total seen operations count
WorstFit,TControl,Round,MKII,MKII,20300,MKIICOOP ,2/27/2014 1:05:00,2/27/2014 13:15:00,ok,2.985617092,3,5,1,6,35.5040159,34.5,43.5202431,2271119,3276,651.7843543,1049,1141,581.7640184,991.2412745,36237,3.477129779,26.81529523,8267,25,1,16,16,2274395
WorstFit,TControl,Round,MKII,MKII,20301,MKIICOOP ,3/1/2014 16:29:00,3/2/2014 4:35:00,ok,2.78982586,3,5,1,5,36.34204474,36.4,40.70939242,2288700,1781,655.4245221,1045,1098,576.7688428,815.8842776,57567,3.456276633,26.66517005,6096.5,27,1,14,14,2290481
WorstFit,TControl,Round,MKII,MKII,20302,MKIICOOP ,3/2/2014 12:43:00,3/3/2014 1:00:00,ok,2.868995526,3,4,1,5,40.99909899,42,42.69337392,2743250,2813,662.3265369,1048,1142,622.5746451,1237.275376,40761,5.242998371,40.31477258,15072,25,1,13,13,2746063
WorstFit,TControl,Round,MKII,MKII,20303,MKIICOOP ,3/3/2014 9:30:00,3/3/2014 21:30:00,ok,2.593907748,3,4,1,5,40.55448992,41,42.40322729,2107332,55322,691.0831389,1050,1174,613.0452587,1200.55071,36045,4.822912563,37.21267762,13943.5,29,1,12,12,2162654
,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,
L2Demand,KMControl,Round,MKII,MKII,20000,MKIICOOP ,3/4/2014 20:56:00,3/5/2014 9:00:00,ok,2.479500918,3,4,1,5,39.06027544,36.6,42.56443822,2137295,560,755.8099171,1047,1194,776.872324,1949.832694,54037,4.598787894,35.31353884,25520.5,8,1,9,9,2137855
L2Demand,KMControl,Round,MKII,MKII,20001,MKIICOOP ,3/5/2014 9:18:00,3/5/2014 21:30:00,ok,2.923183318,3,4,1,4,42.35685993,38.5,42.10029472,2655230,389,1174.510848,1048,2108,701.4844664,2584.623255,59678,4.461873052,34.46445504,118647,5,1,6,6,2655619
L2Demand,KMControl,Round,MKII,MKII,20002,MKIICOOP ,3/5/2014 21:37:00,3/6/2014 8:00:00,fail,,,,,,,,,,,,,,,,,,,,,,,,
L2Demand,KMControl,Round,MKII,MKII,20002,MKIICOOP ,3/6/2014 21:24:00,3/7/2014 7:30:00,ok,3.022769045,3,4,1,5,46.69529081,46.7,42.05690761,2951819,454,808.9338142,1047,1183,585.7566249,1809.972951,32150,4.515859101,34.97235759,66822.5,5,1,6,6,2952273
L2Demand,KMControl,Round,MKII,MKII,20003,MKIICOOP ,3/7/2014 13:30:00,3/8/2014 1:30:00,ok,2.540769523,3,3,1,3,38.46952895,35.8,44.90694643,1851938,195,861.4969892,1046,1226,570.5930419,1862.505416,55184,3.308580823,25.6108579,51298.5,6,1,5,5,1852133
L2Demand,KMControl,Round,MKII,MKII,20100,MKIICOOP ,3/8/2014 1:31:00,3/8/2014 13:30:00,ok,2.781972874,3,4,1,4,41.93256479,41.1,44.33458443,2285991,229,1295.306349,1047,1916.7,618.1185067,3270.06186,36515,2.766560192,21.54201932,105826.5,6,1,6,6,2286220
L2Demand,KMControl,Round,MKII,MKII,20101,MKIICOOP ,3/11/2014 19:00:00,3/12/2014 6:45:00,ok,3.405052062,3,5,1,5,31.27289414,26.4,35.70274804,1791429,783,1066.909707,1046,1642.9,570.8700146,2456.493295,30035,4.118757985,31.92950293,74360.5,4,1,6,6,1792212
L2Demand,KMControl,Round,MKII,MKII,20102,MKIICOOP ,3/12/2014 15:50:00,3/13/2014 4:10:00,ok,3.122961069,3,5,1,5,53.03129726,53,40.30506348,3253744,426,2192.776389,1053,6196.3,831.705449,7733.895011,124473,4.003996659,31.17893251,271061.5,7,1,6,6,3254170
L2Demand,KMControl,Round,MKII,MKII,20103,MKIICOOP ,3/17/2014 9:55:00,3/17/2014 22:30:00,ok,2.223516674,3,3,1,4,39.12147779,35.4,42.36517727,1508647,84,1154.604173,1047,1659,584.0126036,3805.539369,53484,2.491097814,19.37144142,61514.5,5,1,6,6,1508731
L2Demand,KMControl,Round,MKII,MKII,20200,MKIICOOP ,3/18/2014 9:27:00,3/18/2014 19:30:00,fail,,,,,,,,,,,,,,,,,,,,,,,,
L2Demand,KMControl,Round,MKII,MKII,20201,MKIICOOP ,3/20/2014 9:20:00,3/21/2014 21:15:00,ok,2.14118152,2,3,1,4,42.74797136,40,43.52564965,1746176,191,1851.74548,1048,1520.9,1202.779935,9080.320904,165763,3.218006786,24.91514865,73453.5,9,1,7,7,1746367
L2Demand,KMControl,Round,MKII,MKII,20200,MKIICOOP ,3/20/2014 9:50:00,3/20/2014 20:00:00,ok,2.082686656,2,3,1,4,43.9455816,42.5,46.94832655,1439551,169,1212.446332,1047,1249,585.3553869,3112.522872,59458,3.210273305,24.93093855,48590,4,1,7,7,1439720
L2Demand,KMControl,Round,MKII,MKII,20202,MKIICOOP ,3/21/2014 23:05:00,3/22/2014 10:15:00,ok,2.720617583,3,4,1,5,46.85912118,47.6,42.12178054,1955568,471,2299.07689,1049,2807,660.4784124,5081.129132,519254,4.240695549,32.83504463,105597.5,5,1,6,6,1956039
L2Demand,KMControl,Round,MKII,MKII,20203,MKIICOOP ,3/26/2014 8:45:00,3/26/2014 20:30:00,ok,2.413349221,2,4,1,4,34.55447523,32.1,40.52127882,1546863,82,949.7471774,1045,1106,599.4070808,3386.350788,72962,2.511050644,19.37406941,28004.5,5,1,5,5,1546945
L2Demand,KMControl,Round,MKII,MKII,20300,MKIICOOP ,3/25/2014 13:24:00,3/26/2014 1:30:00,ok,2.703200959,3,4,1,5,40.05996797,39.2,45.30633006,2157746,184,1010.666972,1047,1207,579.1562462,4032.941898,58704,3.213871194,24.95096841,46880,8,1,6,6,2157930
L2Demand,KMControl,Round,MKII,MKII,20301,MKIICOOP ,3/26/2014 23:54:00,3/27/2014 12:00:00,ok,2.599730955,3,4,1,4,39.86714132,37.9,44.47106159,2121913,156,996.7797696,1044,1107,568.4943081,6730.796208,55178,3.049360765,23.67377761,47585,7,1,7,7,2122069
L2Demand,KMControl,Round,MKII,MKII,20302,MKIICOOP ,3/27/2014 23:06:00,3/28/2014 11:15:00,ok,2.727493121,3,4,1,4,42.80804379,41.1,45.48704917,2528216,3814,1266.911385,1046,1183,639.414345,4687.328382,134311,4.720757376,36.54361526,64655.5,7,1,6,6,2532030
,,,,,20303,,3/28/2014 11:23:00,,fail,,,,,,,,,,,,,,,,,,,,,,,,
