22.203826,1032.8878
2.76625,-0.2951
2.803074,-0.2213
2.803074,-0.2213
2.803252,-0.332
2.76625,-0.3687
2.803074,-0.4795
2.803074,-0.5532
2.80334,-0.7377
2.802986,-0.8484
2.76625,-1.0695
2.802986,-1.0329
2.803428,-0.9958
2.802986,-1.5859
2.802986,-1.4753
2.76625,-1.8074
2.803428,-1.9917
2.802986,-2.213
2.802986,-1.7704
2.803428,-2.176
2.76625,-2.1762
2.802986,-1.9179
2.802986,-2.0655
2.803428,-1.8071
2.802986,-2.0657
2.76625,-1.6964
2.802986,-1.32784
2.803428,-1.18041
2.802986,-1.14324
2.80299,-1.51236
2.76625,-2.10235
2.80342,-3.0982
2.80299,-3.43015
2.80299,-1.88105
2.80342,-1.36454
2.76625,-3.17211
2.80299,-1.3278
2.80299,-2.24974
2.80342,-2.50821
2.80299,-2.80299
2.76625,-3.20885
2.80299,-3.13537
2.80342,-2.17583
2.80299,-3.28276
2.80299,-2.50821
2.76625,-2.54495
2.80342,-2.06518
2.80299,-2.47147
2.80299,-2.32365
2.80342,-1.84388
2.76625,-2.58212
2.80299,-2.36039
2.80299,-2.17626
2.80342,-4.75795
